,api_uri,district,domain,dw_nominate,facebook_account,facebook_id,first_name,google_entity_id,id,ideal_point,last_name,middle_name,missed_votes,missed_votes_pct,next_election,party,rss_url,seniority,state,total_present,total_votes,twitter_account,url,votes_with_party_pct
0,https://api.propublica.org/congress/v1/members/A000055.json,4,aderholt.house.gov,,RobertAderholt,19787529402,Robert,/m/024p03,A000055,,Aderholt,B.,0,0.00,2018,R,https://aderholt.house.gov/rss.xml,22,AL,0,99,Robert_Aderholt,https://aderholt.house.gov,96.97
1,https://api.propublica.org/congress/v1/members/A000367.json,3,amash.house.gov,,repjustinamash,173604349345646,Justin,/m/0c00p_n,A000367,,Amash,,0,0.00,2018,R,http://amash.house.gov/rss.xml,8,MI,0,99,,http://amash.house.gov,86.87
2,https://api.propublica.org/congress/v1/members/A000369.json,2,amodei.house.gov,,MarkAmodeiNV2,307227745970624,Mark,/m/03bzdkn,A000369,,Amodei,,2,2.02,2018,R,https://amodei.house.gov/rss/news-releases.xml,8,NV,0,99,MarkAmodeiNV2,https://amodei.house.gov,97.94
3,https://api.propublica.org/congress/v1/members/A000370.json,12,,,CongresswomanAdams,,Alma,/m/02b45d,A000370,,Adams,,1,1.01,2018,D,http://adams.house.gov/rss.xml,6,NC,0,99,RepAdams,http://adams.house.gov,96.94
4,https://api.propublica.org/congress/v1/members/A000371.json,31,,,reppeteaguilar,,Pete,/m/0jwv0xf,A000371,,Aguilar,,0,0.00,2018,D,https://aguilar.house.gov/rss.xml,4,CA,0,99,reppeteaguilar,https://aguilar.house.gov,95.96
5,https://api.propublica.org/congress/v1/members/A000372.json,12,allen.house.gov,,CongressmanRickAllen,,Rick,/m/047bdf,A000372,,Allen,,0,0.00,2018,R,,4,GA,0,99,reprickallen,http://allen.house.gov,97.98
6,https://api.propublica.org/congress/v1/members/A000374.json,5,,,CongressmanRalphAbraham,,Ralph,/m/012dwd7_,A000374,,Abraham,,0,0.00,2018,R,https://abraham.house.gov/rss.xml,4,LA,0,99,RepAbraham,https://abraham.house.gov,97.98
7,https://api.propublica.org/congress/v1/members/A000375.json,19,arrington.house.gov,,JodeyArrington,,Jodey,/m/0g9_f_1,A000375,,Arrington,,0,0.00,2018,R,https://arrington.house.gov/rss.xml,2,TX,0,99,RepArrington,https://arrington.house.gov,97.98
8,https://api.propublica.org/congress/v1/members/B000213.json,6,joebarton.house.gov,,RepJoeBarton,15617630596,Joe,/m/03rspq,B000213,,Barton,L.,4,4.04,2018,R,,34,TX,0,99,RepJoeBarton,https://joebarton.house.gov,97.89
9,https://api.propublica.org/congress/v1/members/B000287.json,34,becerra.house.gov,,XavierBecerra,90311772229,Xavier,/m/024trk,B000287,,Becerra,,42,68.85,2018,D,https://becerra.house.gov/rss/press-releases.xml,26,CA,0,61,RepBecerra,http://becerra.house.gov,89.47
10,https://api.propublica.org/congress/v1/members/B000490.json,2,bishop.house.gov,,sanfordbishop,366739521606,Sanford,/m/02554k,B000490,,Bishop Jr.,D.,8,8.08,2018,D,http://bishop.house.gov/rss.xml,26,GA,0,99,SanfordBishop,http://bishop.house.gov,91.21
11,https://api.propublica.org/congress/v1/members/B000574.json,3,blumenauer.house.gov,,,,Earl,/m/033tw8,B000574,,Blumenauer,,7,7.07,2018,D,,24,OR,0,99,BlumenauerMedia,https://blumenauer.house.gov,93.48
12,https://api.propublica.org/congress/v1/members/B000755.json,8,kevinbrady.house.gov,,kevinbrady,9307301412,Kevin,/m/03tq00,B000755,,Brady,,2,2.02,2018,R,,22,TX,0,99,RepKevinBrady,http://kevinbrady.house.gov,97.94
13,https://api.propublica.org/congress/v1/members/B001227.json,1,www.brady.house.gov,,RepRobertBrady,118845109487,Robert,/m/03tq5z,B001227,,Brady,A.,1,1.01,2018,D,http://brady.house.gov/rss.xml,22,PA,0,99,RepBrady,http://brady.house.gov,95.92
14,https://api.propublica.org/congress/v1/members/B001243.json,7,blackburn.house.gov,,marshablackburn,6470828395,Marsha,/m/01fnkt,B001243,,Blackburn,,3,3.03,2018,R,http://blackburn.house.gov/news/rss.aspx,16,TN,0,99,MarshaBlackburn,http://blackburn.house.gov,97.92
15,https://api.propublica.org/congress/v1/members/B001245.json,79,bordallo.house.gov,,madeleine.bordallo,161729837225622,Madeleine,/m/01s_xp,B001245,,Bordallo,Z.,,,2018,D,,16,GU,,0,,https://bordallo.house.gov,
16,https://api.propublica.org/congress/v1/members/B001248.json,26,burgess.house.gov,,michaelcburgess,6916472567,Michael,/m/03tq8_,B001248,,Burgess,C.,0,0.00,2018,R,http://burgess.house.gov/news/rss.aspx,16,TX,0,99,MichaelCBurgess,http://burgess.house.gov,96.97
17,https://api.propublica.org/congress/v1/members/B001250.json,1,robbishop.house.gov,,RepRobBishop,,Rob,/m/02tn41,B001250,,Bishop,,0,0.00,2018,R,http://robbishop.house.gov/news/rss.aspx,16,UT,0,99,RepRobBishop,http://robbishop.house.gov,97.98
18,https://api.propublica.org/congress/v1/members/B001251.json,1,butterfield.house.gov,,congressmangkbutterfield,274687979233940,G.,/m/03g_pq,B001251,,Butterfield,K.,9,9.09,2018,D,,16,NC,0,99,GKButterfield,http://butterfield.house.gov,95.56
19,https://api.propublica.org/congress/v1/members/B001257.json,12,bilirakis.house.gov,,GusBilirakis,135445766485586,Gus,/m/0dy3z1,B001257,,Bilirakis,,0,0.00,2018,R,,14,FL,0,99,RepGusBilirakis,https://bilirakis.house.gov,97.98
20,https://api.propublica.org/congress/v1/members/B001260.json,16,buchanan.house.gov,,CongressmanBuchanan,67106719910,Vern,/m/0gtjsp,B001260,,Buchanan,,6,6.06,2018,R,https://buchanan.house.gov/rss.xml,12,FL,0,99,VernBuchanan,https://buchanan.house.gov,97.85
21,https://api.propublica.org/congress/v1/members/B001269.json,11,barletta.house.gov,,CongressmanLouBarletta,192357174108435,Lou,/m/03wcvjl,B001269,,Barletta,,0,0.00,2018,R,http://barletta.house.gov/rss.xml,8,PA,0,99,RepLouBarletta,http://barletta.house.gov,97.98
22,https://api.propublica.org/congress/v1/members/B001270.json,37,bass.house.gov,,RepKarenBass,190867440939405,Karen,/m/027g9m6,B001270,,Bass,,5,5.05,2018,D,https://bass.house.gov/rss.xml,8,CA,0,99,RepKarenBass,https://bass.house.gov,94.68
23,https://api.propublica.org/congress/v1/members/B001273.json,6,black.house.gov,,DianeBlackTN06,186436274719648,Diane,/m/0cyvxl,B001273,,Black,,1,1.01,2018,R,http://black.house.gov/rss.xml,8,TN,0,99,RepDianeBlack,http://black.house.gov,97.96
24,https://api.propublica.org/congress/v1/members/B001274.json,5,brooks.house.gov,,155220881193244,155220881193244,Mo,/m/0c3xdjf,B001274,,Brooks,,1,1.01,2018,R,,8,AL,0,99,RepMoBrooks,https://brooks.house.gov,96.94
25,https://api.propublica.org/congress/v1/members/B001275.json,8,bucshon.house.gov,,RepLarryBucshon,135670516492974,Larry,/m/0dd9k_y,B001275,,Bucshon,,1,1.01,2018,R,https://bucshon.house.gov/rss.xml,8,IN,0,99,RepLarryBucshon,https://bucshon.house.gov,96.94
26,https://api.propublica.org/congress/v1/members/B001278.json,1,bonamici.house.gov,,congresswomanbonamici,252633384817156,Suzanne,/m/02q453x,B001278,,Bonamici,,0,0.00,2018,D,http://bonamici.house.gov/rss.xml,8,OR,0,99,RepBonamici,http://bonamici.house.gov,95.96
27,https://api.propublica.org/congress/v1/members/B001281.json,3,beatty.house.gov,,RepJoyceBeatty,,Joyce,/m/03lcwb,B001281,,Beatty,,8,8.08,2018,D,http://beatty.house.gov/rss.xml,6,OH,0,99,RepBeatty,http://beatty.house.gov,96.70
28,https://api.propublica.org/congress/v1/members/B001282.json,6,,,RepAndyBarr,457461137635018,Andy,/m/03wcvjl,B001282,,Barr,,0,0.00,2018,R,https://barr.house.gov/rss.xml,6,KY,0,99,RepAndyBarr,https://barr.house.gov,97.98
