api_uri,domain,dw_nominate,facebook_account,facebook_id,first_name,google_entity_id,id,ideal_point,last_name,middle_name,missed_votes,missed_votes_pct,next_election,party,rss_url,seniority,state,total_present,total_votes,twitter_account,url,votes_with_party_pct
https://api.propublica.org/congress/v1/members/A000360.json,,,senatorlamaralexander,89927603836,Lamar,/m/01rbs3,A000360,,Alexander,,1,1.39,2020,R,http://www.alexander.senate.gov/public/?a=RSS.Feed,15,TN,0,72,SenAlexander,https://www.alexander.senate.gov/public/index.cfm/home,98.59
https://api.propublica.org/congress/v1/members/B000575.json,,,SenatorBlunt,142473042477322,Roy,/m/034fn4,B000575,,Blunt,,2,2.78,2022,R,http://www.blunt.senate.gov/public/?a=RSS.Feed,7,MO,0,72,RoyBlunt,http://www.blunt.senate.gov/public,98.57
https://api.propublica.org/congress/v1/members/B000944.json,www.brown.senate.gov,,,,Sherrod,/m/034s80,B000944,,Brown,,0,0.00,2018,D,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,5,OH,0,72,SenSherrodBrown,https://www.brown.senate.gov,98.61
https://api.propublica.org/congress/v1/members/B001135.json,burr.senate.gov,,SenatorRichardBurr,132653626787856,Richard,/m/03g_s9,B001135,,Burr,M.,0,0.00,2022,R,,13,NC,0,72,SenatorBurr,http://www.burr.senate.gov,100.00
https://api.propublica.org/congress/v1/members/B001230.json,baldwin.senate.gov,,TammyBaldwin,7357041101,Tammy,/m/024v02,B001230,,Baldwin,,0,0.00,2018,D,http://www.baldwin.senate.gov/rss/feeds/?type=all,5,WI,0,72,SenatorBaldwin,https://www.baldwin.senate.gov,97.22
https://api.propublica.org/congress/v1/members/B001236.json,,,JohnBoozman,7686715735,John,/m/024s3v,B001236,,Boozman,,0,0.00,2022,R,http://www.boozman.senate.gov/public/index.cfm/rss/feed,7,AR,0,72,JohnBoozman,https://www.boozman.senate.gov/public/index.cfm/home,97.22
https://api.propublica.org/congress/v1/members/B001261.json,www.barrasso.senate.gov,,johnbarrasso,21146775942,John,/m/02rsm32,B001261,,Barrasso,,0,0.00,2018,R,,11,WY,0,72,SenJohnBarrasso,http://www.barrasso.senate.gov,98.61
https://api.propublica.org/congress/v1/members/B001267.json,www.bennet.senate.gov,,senatorbennet,97172997732,Michael,/m/05b60qf,B001267,,Bennet,,0,0.00,2022,D,,9,CO,0,72,SenBennetCo,https://www.bennet.senate.gov,97.22
https://api.propublica.org/congress/v1/members/B001277.json,,,SenBlumenthal,289987304364966,Richard,/m/03tg8m,B001277,,Blumenthal,,1,1.39,2022,D,http://www.blumenthal.senate.gov/rss/feeds/?type=press,7,CT,0,72,SenBlumenthal,https://www.blumenthal.senate.gov,95.77
https://api.propublica.org/congress/v1/members/B001288.json,www.booker.senate.gov/,,,,Cory,/m/06p430,B001288,,Booker,,0,0.00,2020,D,http://www.booker.senate.gov/rss/,5,NJ,0,72,CoryBooker,http://www.booker.senate.gov,91.67
