contact_form,crp_id,cspan_id,district,domain,fax,first_name,govtrack_id,icpsr_id,member_id,in_office,last_name,leadership_role,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,seniority,state,total_present,total_votes,twitter_account,url,votes_with_party_pct,votesmart_id,youtube_account
,N00003028,45516.0,4,aderholt.house.gov,202-225-5587,Robert,400004.0,29701.0,A000055,True,Aderholt,,B.,5.0,1.93,2018,ocd-division/country:us/state:al/cd:4,235 Cannon House Office Building,R,202-225-4876,22,AL,0.0,259.0,Robert_Aderholt,https://aderholt.house.gov,97.64,441.0,RobertAderholt
,N00031938,1033767.0,3,amash.house.gov,202-225-5144,Justin,412438.0,21143.0,A000367,True,Amash,,,1.0,0.39,2018,ocd-division/country:us/state:mi/cd:3,114 Cannon House Office Building,R,202-225-3831,8,MI,0.0,259.0,,http://amash.house.gov,81.78,105566.0,repjustinamash
,N00031177,62817.0,2,amodei.house.gov,202-225-5679,Mark,412500.0,21196.0,A000369,True,Amodei,,,11.0,4.25,2018,ocd-division/country:us/state:nv/cd:2,332 Cannon House Office Building,R,202-225-6155,8,NV,1.0,259.0,MarkAmodeiNV2,https://amodei.house.gov,97.18,12537.0,markamodeinv2
,N00035451,76386.0,12,,202-225-1512,Alma,412607.0,21545.0,A000370,True,Adams,,,1.0,0.39,2018,ocd-division/country:us/state:nc/cd:12,222 Cannon House Office Building,D,202-225-1510,6,NC,0.0,259.0,RepAdams,http://adams.house.gov,96.12,5935.0,
,N00033997,79994.0,31,,202-226-6962,Pete,412615.0,21506.0,A000371,True,Aguilar,,,0.0,0.0,2018,ocd-division/country:us/state:ca/cd:31,1223 Longworth House Office Building,D,202-225-3201,4,CA,0.0,259.0,reppeteaguilar,https://aguilar.house.gov,93.44,70114.0,
,N00033720,62545.0,12,allen.house.gov,202-225-3377,Rick,412625.0,21516.0,A000372,True,Allen,,,2.0,0.77,2018,ocd-division/country:us/state:ga/cd:12,426 Cannon House Office Building,R,202-225-2823,4,GA,0.0,259.0,reprickallen,http://allen.house.gov,97.67,136062.0,
,N00036633,76236.0,5,,202-225-5639,Ralph,412630.0,21522.0,A000374,True,Abraham,,,2.0,0.77,2018,ocd-division/country:us/state:la/cd:5,417 Cannon House Office Building,R,202-225-8490,4,LA,0.0,259.0,RepAbraham,https://abraham.house.gov,97.28,155414.0,
,N00038285,1016482.0,19,arrington.house.gov,,Jodey,412726.0,,A000375,True,Arrington,,,1.0,0.39,2018,ocd-division/country:us/state:tx/cd:19,1029 Longworth House Office Building,R,202-225-4005,2,TX,0.0,259.0,RepArrington,https://arrington.house.gov,97.67,155685.0,
,N00005656,5248.0,6,joebarton.house.gov,202-225-3052,Joe,400018.0,15085.0,B000213,True,Barton,,L.,10.0,3.86,2018,ocd-division/country:us/state:tx/cd:6,2107 Rayburn House Office Building,R,202-225-2002,34,TX,0.0,259.0,RepJoeBarton,https://joebarton.house.gov,97.19,27082.0,repjoebarton
,,26567.0,34,becerra.house.gov,,Xavier,400021.0,29316.0,B000287,False,Becerra,,,42.0,68.85,2018,ocd-division/country:us/state:ca/cd:34,,D,202-225-6235,26,CA,0.0,61.0,RepBecerra,http://becerra.house.gov,89.47,,XavierBecerra
,N00002674,26194.0,2,bishop.house.gov,202-225-2203,Sanford,400030.0,29339.0,B000490,True,Bishop Jr.,,D.,13.0,5.02,2018,ocd-division/country:us/state:ga/cd:2,2407 Rayburn House Office Building,D,202-225-3631,26,GA,0.0,259.0,SanfordBishop,http://bishop.house.gov,91.87,26817.0,RepSanfordBishop
,N00007727,43809.0,3,blumenauer.house.gov,202-225-8941,Earl,400033.0,29588.0,B000574,True,Blumenauer,,,13.0,5.02,2018,ocd-division/country:us/state:or/cd:3,1111 Longworth House Office Building,D,202-225-4811,24,OR,0.0,259.0,BlumenauerMedia,https://blumenauer.house.gov,92.68,367.0,RepBlumenauer
,N00005883,45749.0,8,kevinbrady.house.gov,202-225-5524,Kevin,400046.0,29760.0,B000755,True,Brady,,,10.0,3.86,2018,ocd-division/country:us/state:tx/cd:8,1011 Longworth House Office Building,R,202-225-4901,22,TX,0.0,259.0,RepKevinBrady,http://kevinbrady.house.gov,97.99,361.0,KBrady8
,N00001619,55227.0,1,www.brady.house.gov,202-225-0088,Robert,400047.0,29777.0,B001227,True,Brady,,A.,4.0,1.54,2018,ocd-division/country:us/state:pa/cd:1,2004 Rayburn House Office Building,D,202-225-4731,22,PA,0.0,259.0,RepBrady,http://brady.house.gov,94.12,2519.0,BradyPA01
,N00003105,31226.0,7,blackburn.house.gov,202-225-3004,Marsha,400032.0,20351.0,B001243,True,Blackburn,,,8.0,3.09,2018,ocd-division/country:us/state:tn/cd:7,2266 Rayburn House Office Building,R,202-225-2811,16,TN,0.0,259.0,MarshaBlackburn,http://blackburn.house.gov,97.61,25186.0,RepMarshaBlackburn
,N00024866,1003568.0,79,bordallo.house.gov,,Madeleine,400041.0,70701.0,B001245,True,Bordallo,,Z.,,,2018,ocd-division/country:us/state:gu/cd:79,,D,,16,GU,,0.0,,https://bordallo.house.gov,,1751.0,
