member_id,vote_position,roll_call
A000360,Yes,91
B001230,Yes,91
B001261,Yes,91
B001267,Yes,91
B001277,Yes,91
B000575,Yes,91
B001288,Yes,91
B001236,Yes,91
B000944,Yes,91
B001135,Yes,91
C000127,Yes,91
C001047,Yes,91
C000141,Yes,91
C000174,Yes,91
C001070,Yes,91
C001075,Yes,91
C000567,Yes,91
C001035,Yes,91
C001088,Yes,91
C001071,Yes,91
C001056,Yes,91
C001113,Yes,91
C001095,Yes,91
C000880,Yes,91
C001098,Yes,91
D000618,Yes,91
D000607,Yes,91
D000622,Yes,91
D000563,Yes,91
E000285,Yes,91
E000295,Yes,91
F000062,Yes,91
F000463,Yes,91
F000444,Yes,91
F000457,Yes,91
G000562,Yes,91
G000555,Yes,91
G000359,Yes,91
G000386,Yes,91
H001075,Yes,91
H001076,Yes,91
H000338,Yes,91
H001046,Yes,91
H001069,Yes,91
H001041,Yes,91
H001042,Yes,91
H001061,Yes,91
I000024,Not Voting,91
I000055,Not Voting,91
J000293,Yes,91
K000384,Yes,91
K000393,Yes,91
K000383,Yes,91
K000367,Yes,91
L000575,Yes,91
L000174,Yes,91
L000577,Yes,91
M001183,Yes,91
M000133,Yes,91
M000303,Yes,91
M001170,Yes,91
M000355,Yes,91
M000639,Yes,91
M001176,Yes,91
M000934,Yes,91
M001153,Yes,91
M001169,Yes,91
M001111,Yes,91
N000032,Yes,91
P000603,Yes,91
P000612,Yes,91
P000595,Yes,91
P000449,Yes,91
R000122,Yes,91
R000584,Yes,91
R000307,Yes,91
R000605,Yes,91
R000595,Yes,91
S000033,Yes,91
S001197,Yes,91
S001194,Yes,91
S000148,Yes,91
S001184,Yes,91
S001181,Yes,91
S000320,Yes,91
S000770,Yes,91
S001202,Yes,91
S001198,Yes,91
T000464,Yes,91
T000250,Yes,91
T000476,Yes,91
T000461,Yes,91
U000039,Yes,91
V000128,Yes,91
W000805,Yes,91
W000817,Yes,91
W000802,Yes,91
W000437,Yes,91
W000779,Yes,91
Y000064,Yes,91
A000360,Not Voting,90
B001230,Yes,90
B001261,Not Voting,90
B001267,Yes,90
B001277,Yes,90
B000575,Yes,90
B001288,No,90
B001236,Yes,90
B000944,Yes,90
B001135,Yes,90
C000127,Yes,90
C001047,Yes,90
C000141,Yes,90
C000174,Yes,90
C001070,Yes,90
C001075,Yes,90
C000567,Yes,90
C001035,Yes,90
C001088,Yes,90
C001071,Not Voting,90
C001056,Yes,90
C001113,Yes,90
C001095,Yes,90
C000880,Yes,90
C001098,Yes,90
D000618,Yes,90
D000607,Yes,90
D000622,Yes,90
D000563,Yes,90
E000285,Yes,90
E000295,Yes,90
F000062,Yes,90
F000463,Yes,90
F000444,Yes,90
F000457,Yes,90
G000562,Yes,90
G000555,No,90
G000359,Yes,90
G000386,Yes,90
H001075,No,90
H001076,Yes,90
H000338,Yes,90
H001046,Yes,90
H001069,Yes,90
H001041,Yes,90
H001042,No,90
H001061,Yes,90
I000024,Yes,90
I000055,Not Voting,90
J000293,Yes,90
K000384,Yes,90
K000393,Yes,90
K000383,Yes,90
K000367,Yes,90
L000575,Yes,90
L000174,Yes,90
L000577,Yes,90
M001183,Yes,90
M000133,No,90
M000303,Yes,90
M001170,No,90
M000355,Yes,90
M000639,Yes,90
M001176,No,90
M000934,Yes,90
M001153,Yes,90
M001169,Yes,90
M001111,Yes,90
N000032,Yes,90
P000603,Yes,90
P000612,Yes,90
P000595,Yes,90
P000449,Yes,90
R000122,Yes,90
R000584,Yes,90
R000307,Yes,90
R000605,Yes,90
R000595,Yes,90
S000033,No,90
S001197,Yes,90
S001194,Yes,90
S000148,No,90
S001184,Yes,90
S001181,Yes,90
S000320,Yes,90
S000770,Yes,90
S001202,Yes,90
S001198,Yes,90
T000464,Yes,90
T000250,Yes,90
T000476,Yes,90
T000461,Yes,90
U000039,Yes,90
V000128,Yes,90
W000805,Yes,90
W000817,No,90
W000802,Yes,90
W000437,Yes,90
W000779,Yes,90
Y000064,Yes,90
A000360,Not Voting,89
B001230,No,89
B001261,Yes,89
B001267,Yes,89
B001277,Yes,89
B000575,Yes,89
B001288,No,89
B001236,Yes,89
B000944,Yes,89
B001135,Yes,89
C000127,Yes,89
C001047,Yes,89
C000141,Yes,89
C000174,Yes,89
C001070,Yes,89
C001075,Yes,89
C000567,Yes,89
C001035,Yes,89
C001088,Yes,89
C001071,Not Voting,89
C001056,Yes,89
C001113,Yes,89
C001095,Yes,89
C000880,Yes,89
C001098,Yes,89
D000618,Yes,89
D000607,Yes,89
D000622,No,89
D000563,Yes,89
E000285,Yes,89
E000295,Yes,89
F000062,Yes,89
F000463,Yes,89
F000444,Yes,89
F000457,Yes,89
G000562,Yes,89
G000555,No,89
G000359,Yes,89
G000386,Yes,89
H001075,No,89
H001076,Yes,89
H000338,Yes,89
H001046,Yes,89
H001069,Yes,89
H001041,Yes,89
H001042,Yes,89
H001061,Yes,89
I000024,Yes,89
I000055,Not Voting,89
J000293,Yes,89
K000384,Yes,89
K000393,Yes,89
K000383,Yes,89
K000367,Yes,89
L000575,Yes,89
L000174,Yes,89
L000577,Yes,89
M001183,Yes,89
M000133,No,89
M000303,Yes,89
M001170,Yes,89
M000355,Yes,89
M000639,Yes,89
M001176,No,89
M000934,Yes,89
M001153,Yes,89
M001169,Yes,89
M001111,Yes,89
N000032,Yes,89
P000603,No,89
P000612,Yes,89
P000595,Yes,89
P000449,Yes,89
R000122,Yes,89
R000584,Yes,89
R000307,Yes,89
R000605,Yes,89
R000595,Yes,89
S000033,No,89
S001197,Yes,89
S001194,Yes,89
S000148,Yes,89
S001184,Yes,89
S001181,Yes,89
S000320,Yes,89
S000770,Yes,89
S001202,Yes,89
S001198,Yes,89
T000464,Yes,89
T000250,Yes,89
T000476,Yes,89
T000461,Yes,89
U000039,No,89
V000128,Yes,89
W000805,Yes,89
W000817,No,89
W000802,Yes,89
W000437,Yes,89
W000779,No,89
Y000064,Yes,89
A000360,Yes,86
B001230,No,86
B001261,Yes,86
B001267,No,86
B001277,No,86
B000575,Yes,86
B001288,No,86
B001236,Yes,86
B000944,No,86
B001135,Yes,86
C000127,No,86
C001047,Yes,86
C000141,No,86
C000174,No,86
C001070,No,86
C001075,Yes,86
C000567,Yes,86
C001035,Yes,86
C001088,No,86
C001071,Yes,86
C001056,Yes,86
C001113,No,86
C001095,Yes,86
C000880,Yes,86
C001098,Yes,86
D000618,Yes,86
D000607,Yes,86
D000622,No,86
D000563,No,86
E000285,Yes,86
E000295,Yes,86
F000062,No,86
F000463,Yes,86
F000444,Yes,86
F000457,No,86
G000562,Yes,86
G000555,No,86
G000359,Yes,86
G000386,Yes,86
H001075,No,86
H001076,No,86
H000338,Yes,86
H001046,No,86
H001069,Yes,86
H001041,Yes,86
H001042,No,86
H001061,Yes,86
I000024,Yes,86
I000055,Not Voting,86
J000293,Yes,86
K000384,No,86
K000393,Yes,86
K000383,Yes,86
K000367,No,86
L000575,Yes,86
L000174,No,86
L000577,Yes,86
M001183,Yes,86
M000133,No,86
M000303,Yes,86
M001170,No,86
M000355,Yes,86
M000639,No,86
M001176,No,86
M000934,Yes,86
M001153,Yes,86
M001169,No,86
M001111,No,86
N000032,No,86
P000603,Yes,86
P000612,Yes,86
P000595,Not Voting,86
P000449,Yes,86
R000122,No,86
R000584,Yes,86
R000307,Yes,86
R000605,Yes,86
R000595,Yes,86
S000033,No,86
S001197,Yes,86
S001194,No,86
S000148,No,86
S001184,Yes,86
S001181,No,86
S000320,Yes,86
S000770,No,86
S001202,Yes,86
S001198,Yes,86
T000464,No,86
T000250,Yes,86
T000476,Yes,86
T000461,Yes,86
U000039,No,86
V000128,No,86
W000805,No,86
W000817,No,86
W000802,No,86
W000437,Yes,86
W000779,No,86
Y000064,Yes,86
A000360,Yes,79
B001230,No,79
B001261,Yes,79
B001267,No,79
B001277,No,79
B000575,Yes,79
B001288,No,79
B001236,Yes,79
B000944,No,79
B001135,Yes,79
C000127,No,79
C001047,Yes,79
C000141,No,79
C000174,Yes,79
C001070,No,79
C001075,Yes,79
C000567,Yes,79
C001035,Yes,79
C001088,No,79
C001071,Yes,79
C001056,Yes,79
C001113,Yes,79
C001095,Yes,79
C000880,Yes,79
C001098,Yes,79
D000618,Yes,79
D000607,Yes,79
D000622,No,79
D000563,No,79
E000285,Yes,79
E000295,Yes,79
F000062,No,79
F000463,Yes,79
F000444,Yes,79
F000457,No,79
G000562,Yes,79
G000555,No,79
G000359,Yes,79
G000386,Yes,79
H001075,No,79
H001076,No,79
H000338,Yes,79
H001046,No,79
H001069,Yes,79
H001041,Yes,79
H001042,No,79
H001061,Yes,79
I000024,Yes,79
I000055,Not Voting,79
J000293,Yes,79
K000384,No,79
K000393,Yes,79
K000383,Yes,79
K000367,No,79
L000575,Yes,79
L000174,No,79
L000577,Yes,79
M001183,Yes,79
M000133,No,79
M000303,Yes,79
M001170,Yes,79
M000355,Yes,79
M000639,No,79
M001176,No,79
M000934,Yes,79
M001153,Yes,79
M001169,No,79
M001111,No,79
N000032,No,79
P000603,Yes,79
P000612,Yes,79
P000595,No,79
P000449,Yes,79
R000122,No,79
R000584,Yes,79
R000307,Yes,79
R000605,Yes,79
R000595,Yes,79
S000033,No,79
S001197,Yes,79
S001194,No,79
S000148,No,79
S001184,Yes,79
S001181,No,79
S000320,Yes,79
S000770,Yes,79
S001202,Yes,79
S001198,Yes,79
T000464,Yes,79
T000250,Yes,79
T000476,Yes,79
T000461,Yes,79
U000039,Yes,79
V000128,No,79
W000805,Yes,79
W000817,No,79
W000802,No,79
W000437,Yes,79
W000779,No,79
Y000064,Yes,79
A000360,Yes,77
B001230,No,77
B001261,Yes,77
B001267,No,77
B001277,No,77
B000575,Yes,77
B001288,No,77
B001236,Yes,77
B000944,Yes,77
B001135,Yes,77
C000127,No,77
C001047,Yes,77
C000141,No,77
C000174,No,77
C001070,No,77
C001075,Yes,77
C000567,Yes,77
C001035,Yes,77
C001088,No,77
C001071,Yes,77
C001056,Yes,77
C001113,No,77
C001095,Yes,77
C000880,Yes,77
C001098,Yes,77
D000618,Yes,77
D000607,Yes,77
D000622,No,77
D000563,No,77
E000285,Yes,77
E000295,Yes,77
F000062,No,77
F000463,Yes,77
F000444,Yes,77
F000457,No,77
G000562,Yes,77
G000555,No,77
G000359,Yes,77
G000386,Yes,77
H001075,No,77
H001076,No,77
H000338,Yes,77
H001046,No,77
H001069,Yes,77
H001041,Yes,77
H001042,No,77
H001061,Yes,77
I000024,Yes,77
I000055,Not Voting,77
J000293,Yes,77
K000384,No,77
K000393,Yes,77
K000383,Yes,77
K000367,No,77
L000575,Yes,77
L000174,No,77
L000577,Yes,77
M001183,Yes,77
M000133,No,77
M000303,Yes,77
M001170,No,77
M000355,Yes,77
M000639,No,77
M001176,No,77
M000934,Yes,77
M001153,Yes,77
M001169,No,77
M001111,No,77
N000032,No,77
P000603,Yes,77
P000612,Yes,77
P000595,No,77
P000449,Yes,77
R000122,No,77
R000584,Yes,77
R000307,Yes,77
R000605,Yes,77
R000595,Yes,77
S000033,No,77
S001197,Yes,77
S001194,No,77
S000148,No,77
S001184,Yes,77
