dw_nominate,member_id,vote_position,roll_call
,A000360,Yes,65
,B001230,No,65
,B001261,Yes,65
,B001267,Yes,65
,B001277,Yes,65
,B000575,Yes,65
,B001288,No,65
,B001236,Yes,65
,B000944,No,65
,B001135,Yes,65
,C000127,Yes,65
,C001047,Yes,65
,C000141,Yes,65
,C000174,Yes,65
,C001070,Yes,65
,C001075,Yes,65
,C000567,Yes,65
,C001035,Yes,65
,C001088,Yes,65
,C001071,Yes,65
,C001056,Yes,65
,C001113,Yes,65
,C001095,Yes,65
,C000880,Yes,65
,C001098,Yes,65
,D000618,Yes,65
,D000607,Yes,65
,D000622,Yes,65
,D000563,No,65
,E000285,Yes,65
,E000295,Yes,65
,F000062,Yes,65
,F000463,Yes,65
,F000444,Yes,65
,F000457,Yes,65
,G000562,Yes,65
,G000555,No,65
,G000359,Yes,65
,G000386,Yes,65
,H001075,No,65
,H001076,Yes,65
,H000338,Yes,65
,H001046,No,65
,H001069,Yes,65
,H001041,Yes,65
,H001042,Yes,65
,H001061,Yes,65
,I000024,Yes,65
,I000055,Yes,65
,J000293,Yes,65
,K000384,Yes,65
,K000393,Yes,65
,K000383,Yes,65
,K000367,Yes,65
,L000575,Yes,65
,L000174,Yes,65
,L000577,Yes,65
,M001183,Yes,65
,M000133,No,65
,M000303,Yes,65
,M001170,Yes,65
,M000355,Yes,65
,M000639,Yes,65
,M001176,No,65
,M000934,Yes,65
,M001153,Yes,65
,M001169,Yes,65
,M001111,No,65
,N000032,Yes,65
,P000603,Yes,65
,P000612,Yes,65
,P000595,Yes,65
,P000449,Yes,65
,R000122,No,65
,R000584,Yes,65
,R000307,Yes,65
,R000605,Yes,65
,R000595,Yes,65
,S000033,No,65
,S001197,Yes,65
,S001194,No,65
,S000148,No,65
,S001184,Yes,65
,S001181,Yes,65
,S000320,Yes,65
,S000770,Yes,65
,S001202,Yes,65
,S001198,Yes,65
,T000464,Yes,65
,T000250,Yes,65
,T000476,Yes,65
,T000461,Yes,65
,U000039,No,65
,V000128,No,65
,W000805,Yes,65
,W000817,No,65
,W000802,No,65
,W000437,Yes,65
,W000779,No,65
,Y000064,Yes,65
