,dw_nominate,member_id,vote_position,roll_call
0,,A000360,Yes,68
1,,B001230,No,68
2,,B001261,Yes,68
3,,B001267,No,68
4,,B001277,No,68
5,,B000575,Yes,68
6,,B001288,No,68
7,,B001236,Yes,68
8,,B000944,No,68
9,,B001135,Yes,68
10,,C000127,No,68
11,,C001047,Yes,68
12,,C000141,No,68
13,,C000174,No,68
14,,C001070,No,68
15,,C001075,Yes,68
16,,C000567,Yes,68
17,,C001035,Yes,68
18,,C001088,No,68
19,,C001071,Yes,68
20,,C001056,Yes,68
21,,C001113,No,68
22,,C001095,Yes,68
23,,C000880,Yes,68
24,,C001098,Yes,68
25,,D000618,Yes,68
26,,D000607,No,68
27,,D000622,No,68
28,,D000563,No,68
29,,E000285,Yes,68
30,,E000295,Yes,68
31,,F000062,No,68
32,,F000463,Yes,68
33,,F000444,Yes,68
34,,F000457,No,68
35,,G000562,Yes,68
36,,G000555,No,68
37,,G000359,Yes,68
38,,G000386,Yes,68
39,,H001075,No,68
40,,H001076,No,68
41,,H000338,Yes,68
42,,H001046,No,68
43,,H001069,No,68
44,,H001041,Yes,68
45,,H001042,No,68
46,,H001061,Yes,68
47,,I000024,Yes,68
48,,I000055,Yes,68
49,,J000293,Yes,68
50,,K000384,No,68
51,,K000393,Yes,68
52,,K000383,No,68
53,,K000367,No,68
54,,L000575,Yes,68
55,,L000174,No,68
56,,L000577,Yes,68
57,,M001183,No,68
58,,M000133,No,68
59,,M000303,No,68
60,,M001170,No,68
61,,M000355,Yes,68
62,,M000639,No,68
63,,M001176,No,68
64,,M000934,Yes,68
65,,M001153,Yes,68
66,,M001169,No,68
67,,M001111,No,68
68,,N000032,No,68
69,,P000603,Yes,68
70,,P000612,Yes,68
71,,P000595,No,68
72,,P000449,Yes,68
73,,R000122,No,68
74,,R000584,Yes,68
75,,R000307,Yes,68
76,,R000605,Yes,68
77,,R000595,Yes,68
78,,S000033,No,68
79,,S001197,Yes,68
80,,S001194,No,68
81,,S000148,No,68
82,,S001184,Yes,68
83,,S001181,No,68
84,,S000320,Yes,68
85,,S000770,No,68
86,,S001202,Yes,68
87,,S001198,Yes,68
88,,T000464,No,68
89,,T000250,Yes,68
90,,T000476,Yes,68
91,,T000461,Yes,68
92,,U000039,No,68
93,,V000128,No,68
94,,W000805,No,68
95,,W000817,No,68
96,,W000802,No,68
97,,W000437,Yes,68
98,,W000779,No,68
99,,Y000064,Yes,68
