api_uri,crp_id,cspan_id,domain,dw_nominate,facebook_account,first_name,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,leadership_role,lis_id,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,rss_url,senate_class,seniority,state,state_rank,total_present,total_votes,twitter_account,url,votes_with_party_pct,votesmart_id
https://api.propublica.org/congress/v1/members/A000360.json,N00009888,5,,,senatorlamaralexander,Lamar,/m/01rbs3,300002,40304,A000360,,true,Alexander,,S289,,3,3.23,2020,ocd-division/country:us/state:tn,455 Dirksen Senate Office Building,R,202-224-4944,http://www.alexander.senate.gov/public/?a=RSS.Feed,2,15,TN,senior,0,93,SenAlexander,https://www.alexander.senate.gov/public/index.cfm/home,98.89,15691
https://api.propublica.org/congress/v1/members/B000575.json,N00005195,45465,,,SenatorBlunt,Roy,/m/034fn4,400034,29735,B000575,,true,Blunt,,S342,,2,2.15,2022,ocd-division/country:us/state:mo,260 Russell Senate Office Building,R,202-224-5721,http://www.blunt.senate.gov/public/?a=RSS.Feed,3,7,MO,junior,0,93,RoyBlunt,http://www.blunt.senate.gov/public,98.90,418
https://api.propublica.org/congress/v1/members/B000944.json,N00003535,5051,www.brown.senate.gov,,,Sherrod,/m/034s80,400050,29389,B000944,,true,Brown,,S307,,0,0.00,2018,ocd-division/country:us/state:oh,713 Hart Senate Office Building,D,202-224-2315,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,1,5,OH,senior,0,93,SenSherrodBrown,https://www.brown.senate.gov,94.62,27018
https://api.propublica.org/congress/v1/members/B001135.json,N00002221,31054,burr.senate.gov,,SenatorRichardBurr,Richard,/m/03g_s9,400054,29548,B001135,,true,Burr,,S300,M.,0,0.00,2022,ocd-division/country:us/state:nc,,R,202-224-3154,,3,13,NC,senior,0,93,SenatorBurr,http://www.burr.senate.gov,100.00,21787
https://api.propublica.org/congress/v1/members/B001230.json,N00004367,57884,baldwin.senate.gov,,TammyBaldwin,Tammy,/m/024v02,400013,29940,B001230,,true,Baldwin,,S354,,0,0.00,2018,ocd-division/country:us/state:wi,709 Hart,D,202-224-5653,http://www.baldwin.senate.gov/rss/feeds/?type=all,1,5,WI,junior,0,93,SenatorBaldwin,https://www.baldwin.senate.gov,95.70,3470
https://api.propublica.org/congress/v1/members/B001236.json,N00013873,92069,,,JohnBoozman,John,/m/024s3v,400040,20101,B001236,,true,Boozman,,S343,,0,0.00,2022,ocd-division/country:us/state:ar,141 Hart Senate Office Building,R,202-224-4843,http://www.boozman.senate.gov/public/index.cfm/rss/feed,3,7,AR,senior,0,93,JohnBoozman,https://www.boozman.senate.gov/public/index.cfm/home,97.85,27958
https://api.propublica.org/congress/v1/members/B001261.json,N00006236,1024777,www.barrasso.senate.gov,,johnbarrasso,John,/m/02rsm32,412251,40707,B001261,,true,Barrasso,,S317,,1,1.08,2018,ocd-division/country:us/state:wy,307 Dirksen Senate Office Building,R,202-224-6441,,1,11,WY,junior,0,93,SenJohnBarrasso,http://www.barrasso.senate.gov,98.91,52662
https://api.propublica.org/congress/v1/members/B001267.json,N00030608,1031622,www.bennet.senate.gov,,senbennetco,Michael,/m/05b60qf,412330,40910,B001267,,true,Bennet,,S330,,0,0.00,2022,ocd-division/country:us/state:co,261 Russell Senate Office Building,D,202-224-5852,,3,9,CO,senior,0,93,SenBennetCo,https://www.bennet.senate.gov,94.62,110942
https://api.propublica.org/congress/v1/members/B001277.json,N00031685,21799,,,SenBlumenthal,Richard,/m/03tg8m,412490,41101,B001277,,true,Blumenthal,,S341,,1,1.08,2022,ocd-division/country:us/state:ct,706 Hart Senate Office Building,D,202-224-2823,https://www.blumenthal.senate.gov/rss/feeds/?type=press,3,7,CT,senior,0,93,SenBlumenthal,https://www.blumenthal.senate.gov,96.74,1568
https://api.propublica.org/congress/v1/members/B001288.json,N00035267,84679,www.booker.senate.gov/,,,Cory,/m/06p430,412598,41308,B001288,,true,Booker,,S370,,0,0.00,2020,ocd-division/country:us/state:nj,,D,202-224-3224,http://www.booker.senate.gov/rss/,2,5,NJ,junior,0,93,CoryBooker,http://www.booker.senate.gov,90.32,76151
