dw_nominate,member_id,vote_position,roll_call
,A000360,Yes,68
,B001230,No,68
,B001261,Yes,68
,B001267,No,68
,B001277,No,68
,B000575,Yes,68
,B001288,No,68
,B001236,Yes,68
,B000944,No,68
,B001135,Yes,68
,C000127,No,68
,C001047,Yes,68
,C000141,No,68
,C000174,No,68
,C001070,No,68
,C001075,Yes,68
,C000567,Yes,68
,C001035,Yes,68
,C001088,No,68
,C001071,Yes,68
,C001056,Yes,68
,C001113,No,68
,C001095,Yes,68
,C000880,Yes,68
,C001098,Yes,68
,D000618,Yes,68
,D000607,No,68
,D000622,No,68
,D000563,No,68
,E000285,Yes,68
,E000295,Yes,68
,F000062,No,68
,F000463,Yes,68
,F000444,Yes,68
,F000457,No,68
,G000562,Yes,68
,G000555,No,68
,G000359,Yes,68
,G000386,Yes,68
,H001075,No,68
,H001076,No,68
,H000338,Yes,68
,H001046,No,68
,H001069,No,68
,H001041,Yes,68
,H001042,No,68
,H001061,Yes,68
,I000024,Yes,68
,I000055,Yes,68
,J000293,Yes,68
,K000384,No,68
,K000393,Yes,68
,K000383,No,68
,K000367,No,68
,L000575,Yes,68
,L000174,No,68
,L000577,Yes,68
,M001183,No,68
,M000133,No,68
,M000303,No,68
,M001170,No,68
,M000355,Yes,68
,M000639,No,68
,M001176,No,68
,M000934,Yes,68
,M001153,Yes,68
,M001169,No,68
,M001111,No,68
,N000032,No,68
,P000603,Yes,68
,P000612,Yes,68
,P000595,No,68
,P000449,Yes,68
,R000122,No,68
,R000584,Yes,68
,R000307,Yes,68
,R000605,Yes,68
,R000595,Yes,68
,S000033,No,68
,S001197,Yes,68
,S001194,No,68
,S000148,No,68
,S001184,Yes,68
,S001181,No,68
,S000320,Yes,68
,S000770,No,68
,S001202,Yes,68
,S001198,Yes,68
,T000464,No,68
,T000250,Yes,68
,T000476,Yes,68
,T000461,Yes,68
,U000039,No,68
,V000128,No,68
,W000805,No,68
,W000817,No,68
,W000802,No,68
,W000437,Yes,68
,W000779,No,68
,Y000064,Yes,68
